League;Stat;Next Match;Odds;Date;Resultado;Situacao;Target;Tipo_Estatistica;Tamanho_Streak;Local_Jogo;Probabilidade_Sucesso;Previsao_Modelo;Padrao_Identificado;Recomendacao;Analise_Detalhada
Liga de Expansión MX;CA La Paz have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Cancún;1.53;2025-10-04 00:00:00;02/abr;FALSO;0.0;OVER_2.5;6;CASA;0.2806666666666667;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.53). Previsao: STREAK SERA INTERROMPIDO.
J League;Cerezo Osaka have had BTTS in their last 6 league matches;Away vs Nagoya Grampus;1.62;2025-10-04 01:30:00;02/jan;FALSO;0.0;BTTS;6;FORA;0.1366666666666667;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 6 jogos (Odds: 1.62). Previsao: STREAK SERA INTERROMPIDO.
K League 1;Daegu have had Over 2.5 Match Goalsin their last 13 away league matches;Away vs Gwangju;1.85;2025-10-04 02:00:00;02/mar;FALSO;0.0;OVER_2.5;13;FORA;0.29;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 13 jogos (Odds: 1.85). Previsao: STREAK SERA INTERROMPIDO.
1. Lig;Adana Demirspor have Lost their last 7 league matches;Away vs Pendikspor;1.05;2025-10-04 07:30:00;3-0;VERDADEIRO;1.0;DERROTA;7;FORA;0.7823809523809523;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO FORTE: Streak de 7 derrotas consecutivas (Odds: 1.05). Previsao: MANTERA O STREAK.
1. Lig;Adana Demirspor have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Pendikspor;1.17;2025-10-04 07:30:00;3-0;VERDADEIRO;1.0;OVER_2.5;8;FORA;0.6507142857142857;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO SOLIDO: Over 2.5 goals em 8 jogos (Odds: 1.17). Previsao: MANTERA O STREAK.
Super League;Meizhou Hakka have had Over 2.5 Match Goalsin their last 12 home league matches;Home vs Qingdao Hainiu;1.66;2025-10-04 08:00:00;1-0;FALSO;0.0;OVER_2.5;12;CASA;0.09;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 12 jogos (Odds: 1.66). Previsao: STREAK SERA INTERROMPIDO.
Bundesliga 2;Preußen Münster have had BTTS in their last 7 league matches;Away vs Hertha;1.67;2025-10-04 08:00:00;02/jan;FALSO;0.0;BTTS;7;FORA;0.5479999999999999;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 7 jogos (Odds: 1.67). Previsao: MANTERA O STREAK.
Allsvenskan Women;Rosengard W have Lost their last 6 league matches;Away vs Malmö FF W;;2025-10-04 08:00:00;01/fev;FALSO;0.0;DERROTA;6;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Allsvenskan Women;Rosengard W have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Malmö FF W;;2025-10-04 08:00:00;01/fev;FALSO;0.0;OVER_2.5;7;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Championship;Hull have had Over 2.5 Match Goalsin their last 7 league matches;Home vs Sheffield United;1.91;2025-10-04 08:30:00;1-0;FALSO;0.0;OVER_2.5;7;CASA;0.3883333333333333;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 7 jogos (Odds: 1.91). Previsao: STREAK SERA INTERROMPIDO.
Super League;Shandong Taishan have Won their last 6 home league matches;Home vs Yunnan Yukun;1.37;2025-10-04 08:35:00;01/jan;FALSO;0.0;VITORIA;6;CASA;0.37333333333333335;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Streak de 6 vitorias consecutivas (Odds: 1.37). Previsao: STREAK SERA INTERROMPIDO.
Super League;Shandong Taishan have had Over 2.5 Match Goalsin their last 6 home league matches;Home vs Yunnan Yukun;1.3;2025-10-04 08:35:00;01/jan;FALSO;0.0;OVER_2.5;6;CASA;0.4084999999999999;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.3). Previsao: STREAK SERA INTERROMPIDO.
Super League;Shandong Taishan have had Over 2.5 Match Goalsin their last 8 league matches;Home vs Yunnan Yukun;1.3;2025-10-04 08:35:00;01/jan;FALSO;0.0;OVER_2.5;8;CASA;0.25;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 8 jogos (Odds: 1.3). Previsao: STREAK SERA INTERROMPIDO.
Super League;Yunnan Yukun have had BTTS in their last 11 league matches;Away vs Shandong Taishan;1.44;2025-10-04 08:35:00;01/jan;FALSO;0.0;BTTS;11;FORA;0.4225;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 11 jogos (Odds: 1.44). Previsao: STREAK SERA INTERROMPIDO.
Super league;Dinamo Samarqand have had BTTS in their last 8 away league matches;Away vs Surkhon Termez;;2025-10-04 09:00:00;0-2;FALSO;0.0;BTTS;8;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
3. Liga;Ulm have had BTTS in their last 7 league matches;Away vs Ingolstadt;1.5;2025-10-04 09:00:00;04/jan;FALSO;0.0;BTTS;7;FORA;0.2;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 7 jogos (Odds: 1.5). Previsao: STREAK SERA INTERROMPIDO.
Tweede Divisie;ACV have Lost their last 6 league matches;Home vs Barendrecht;2.2;2025-10-04 09:30:00;;VERDADEIRO;1.0;DERROTA;6;CASA;0.7;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO SOLIDO: Streak de 6 derrotas consecutivas (Odds: 2.2). Previsao: MANTERA O STREAK.
Tweede Divisie;HHC have Won their last 7 league matches;Home vs Jong Sparta;1.53;2025-10-04 09:30:00;0-2;FALSO;0.0;VITORIA;7;CASA;0.18;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Streak de 7 vitorias consecutivas (Odds: 1.53). Previsao: STREAK SERA INTERROMPIDO.
Vysshaya Liga;Dinamo Minsk have had BTTS in their last 6 league matches;Away vs Molodechno-DYuSSh 4;;2025-10-04 09:45:00;01/mar;FALSO;0.0;BTTS;6;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Vysshaya Liga;Dinamo Minsk have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Molodechno-DYuSSh 4;;2025-10-04 09:45:00;01/mar;FALSO;0.0;OVER_2.5;7;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Serie B;Catanzaro haveDrewtheir last 6 league matches;Away vs Monza;3.5;2025-10-04 10:00:00;02/jan;FALSO;0.0;EMPATE;6;FORA;0.095;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica EMPATE por 6 jogos (Odds: 3.5). Previsao: STREAK SERA INTERROMPIDO.
Czech Liga;Karviná have had BTTS in their last 7 league matches;Away vs Pardubice;1.67;2025-10-04 10:00:00;02/jan;FALSO;0.0;BTTS;7;FORA;0.5479999999999999;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 7 jogos (Odds: 1.67). Previsao: MANTERA O STREAK.
Czech Liga;Karviná have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Pardubice;1.8;2025-10-04 10:00:00;02/jan;FALSO;0.0;OVER_2.5;7;FORA;0.585;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 7 jogos (Odds: 1.8). Previsao: MANTERA O STREAK.
Iceland Besta Deildin;Afturelding have had BTTS in their last 14 league matches;Away vs KR Reykjavík;1.36;2025-10-04 11:00:00;02/fev;FALSO;0.0;BTTS;14;FORA;0.3433333333333334;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 14 jogos (Odds: 1.36). Previsao: STREAK SERA INTERROMPIDO.
Iceland Besta Deildin;Afturelding have had BTTS in their last 7 away league matches;Away vs KR Reykjavík;1.36;2025-10-04 11:00:00;02/fev;FALSO;0.0;BTTS;7;FORA;0.235;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 7 jogos (Odds: 1.36). Previsao: STREAK SERA INTERROMPIDO.
Allsvenskan Women;Alingsås W have Lost their last 6 league matches;Home vs Häcken W;;2025-10-04 11:00:00;0-2;VERDADEIRO;1.0;DERROTA;6;CASA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Scottish League 2;Dumbarton have had BTTS in their last 8 league matches;Away vs Stirling;1.57;2025-10-04 11:00:00;02/fev;FALSO;0.0;BTTS;8;FORA;0.06;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 8 jogos (Odds: 1.57). Previsao: STREAK SERA INTERROMPIDO.
Scottish League 1;East Fife have had BTTS in their last 6 league matches;Home vs Cove Rangers;1.73;2025-10-04 11:00:00;2-0;FALSO;0.0;BTTS;6;CASA;0.82;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO FORTISSIMO: Estatistica BTTS por 6 jogos (Odds: 1.73). Previsao: MANTERA O STREAK.
Scottish League 2;Edinburgh City have had BTTS in their last 8 league matches;Away vs Spartans;1.67;2025-10-04 11:00:00;;FALSO;0.0;BTTS;8;FORA;0.3914285714285714;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 8 jogos (Odds: 1.67). Previsao: STREAK SERA INTERROMPIDO.
National League;Halifax have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Brackley Town;2.15;2025-10-04 11:00:00;2-0;FALSO;0.0;OVER_2.5;6;CASA;0.249;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 2.15). Previsao: STREAK SERA INTERROMPIDO.
Allsvenskan Women;Häcken W have Won their last 7 away league matches;Away vs Alingsås W;;2025-10-04 11:00:00;0-2;VERDADEIRO;1.0;VITORIA;7;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Allsvenskan Women;Häcken W have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs Alingsås W;;2025-10-04 11:00:00;0-2;FALSO;0.0;OVER_2.5;6;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Norwegian 1. Division;Hødd have had BTTS in their last 8 away league matches;Away vs Lillestrøm;2.0;2025-10-04 11:00:00;0-4;FALSO;0.0;BTTS;8;FORA;0.034761904761904765;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 8 jogos (Odds: 2.0). Previsao: STREAK SERA INTERROMPIDO.
Norwegian 1. Division;Kongsvinger have had BTTS in their last 9 league matches;Home vs Skeid;1.62;2025-10-04 11:00:00;3-0;FALSO;0.0;BTTS;9;CASA;0.04;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 9 jogos (Odds: 1.62). Previsao: STREAK SERA INTERROMPIDO.
Northern Ireland Premiership;Larne have Won their last 6 league matches;Away vs Dungannon Swifts;1.9;2025-10-04 11:00:00;;FALSO;0.0;VITORIA;6;FORA;0.2888809523809524;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Streak de 6 vitorias consecutivas (Odds: 1.9). Previsao: STREAK SERA INTERROMPIDO.
Norwegian 1. Division;Lillestrøm have Won their last 11 league matches;Home vs Hødd;1.17;2025-10-04 11:00:00;0-4;FALSO;0.0;VITORIA;11;CASA;0.17;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Streak de 11 vitorias consecutivas (Odds: 1.17). Previsao: STREAK SERA INTERROMPIDO.
Norwegian 1. Division;Lillestrøm have had Over 2.5 Match Goalsin their last 7 league matches;Home vs Hødd;1.36;2025-10-04 11:00:00;0-4;VERDADEIRO;1.0;OVER_2.5;7;CASA;0.45;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 7 jogos (Odds: 1.36). Previsao: STREAK SERA INTERROMPIDO.
Norwegian 1. Division;Mjøndalen IF have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs Åsane;1.65;2025-10-04 11:00:00;02/mar;FALSO;0.0;OVER_2.5;6;FORA;0.41666666666666674;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.65). Previsao: STREAK SERA INTERROMPIDO.
National League;Morecambe have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Tamworth;1.53;2025-10-04 11:00:00;01/jan;FALSO;0.0;OVER_2.5;7;FORA;0.62;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO SOLIDO: Over 2.5 goals em 7 jogos (Odds: 1.53). Previsao: MANTERA O STREAK.
Scottish League 1;Peterhead have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Kelty Hearts;1.8;2025-10-04 11:00:00;01/fev;FALSO;0.0;OVER_2.5;6;FORA;0.49249999999999994;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.8). Previsao: STREAK SERA INTERROMPIDO.
Norwegian 1. Division;Raufoss have had Over 2.5 Match Goalsin their last 8 away league matches;Away vs IK Start;1.53;2025-10-04 11:00:00;4-0;VERDADEIRO;1.0;OVER_2.5;8;FORA;0.25;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 8 jogos (Odds: 1.53). Previsao: STREAK SERA INTERROMPIDO.
Scottish Championship;Ross County have had BTTS in their last 6 league matches;Home vs Raith R vs;1.83;2025-10-04 11:00:00;2-0;FALSO;0.0;BTTS;6;CASA;0.05;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 6 jogos (Odds: 1.83). Previsao: STREAK SERA INTERROMPIDO.
Norwegian Eliteserien;Sandefjord have had Over 2.5 Match Goalsin their last 9 league matches;Home vs Bryne;1.67;2025-10-04 11:00:00;1-0;FALSO;0.0;OVER_2.5;9;CASA;0.19;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 9 jogos (Odds: 1.67). Previsao: STREAK SERA INTERROMPIDO.
Norwegian 1. Division;Sogndal have had BTTS in their last 11 league matches;Away vs Aalesunds FK;1.67;2025-10-04 11:00:00;2-0;FALSO;0.0;BTTS;11;FORA;0.44;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 11 jogos (Odds: 1.67). Previsao: STREAK SERA INTERROMPIDO.
Meistriliiga;Tallinna Kalev have Lost their last 7 league matches;Home vs Trans;1.38;2025-10-04 11:00:00;;VERDADEIRO;1.0;DERROTA;7;CASA;0.7883333333333333;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO FORTE: Streak de 7 derrotas consecutivas (Odds: 1.38). Previsao: MANTERA O STREAK.
National League;Truro City have Lost their last 6 away league matches;Away vs Woking;2.05;2025-10-04 11:00:00;;FALSO;0.0;DERROTA;6;FORA;0.6016666666666667;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO SOLIDO: Streak de 6 derrotas consecutivas (Odds: 2.05). Previsao: MANTERA O STREAK.
Segunda Liga;Portimonense SAD have had BTTS in their last 6 league matches;Home vs União de Leiria;1.73;2025-10-04 11:30:00;;VERDADEIRO;1.0;BTTS;6;CASA;0.82;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO FORTISSIMO: Estatistica BTTS por 6 jogos (Odds: 1.73). Previsao: MANTERA O STREAK.
Bundesliga;WSG Tirol have had BTTS in their last 7 league matches;Away vs SV Ried;1.8;2025-10-04 12:00:00;2-0;FALSO;0.0;BTTS;7;FORA;0.13;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 7 jogos (Odds: 1.8). Previsao: STREAK SERA INTERROMPIDO.
Ekstraklasa;Zaglebie Lubin have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Radomiak Radom;1.85;2025-10-04 12:30:00;03/jan;FALSO;0.0;OVER_2.5;6;FORA;0.563;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.85). Previsao: MANTERA O STREAK.
Meistriliiga;Flora have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Harju Jalgpallikool;1.5;2025-10-04 13:00:00;01/fev;FALSO;0.0;OVER_2.5;8;FORA;0.17;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 8 jogos (Odds: 1.5). Previsao: STREAK SERA INTERROMPIDO.
Meistriliiga;Harju Jalgpallikool have had Over 2.5 Match Goalsin their last 8 league matches;Home vs Flora;1.5;2025-10-04 13:00:00;01/fev;FALSO;0.0;OVER_2.5;8;CASA;0.17;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 8 jogos (Odds: 1.5). Previsao: STREAK SERA INTERROMPIDO.
1. HNL;Slaven Koprivnica have had Over 2.5 Match Goalsin their last 7 league matches;Home vs Osijek;1.85;2025-10-04 13:00:00;;VERDADEIRO;1.0;OVER_2.5;7;CASA;0.86;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO FORTISSIMO: Over 2.5 goals em 7 jogos (Odds: 1.85). Previsao: MANTERA O STREAK.
Northern Ireland Premiership;Glenavon have Lost their last 9 league matches;Away vs Portadown;1.9;2025-10-04 13:30:00;;VERDADEIRO;1.0;DERROTA;9;FORA;0.585;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Streak de 9 derrotas consecutivas (Odds: 1.9). Previsao: MANTERA O STREAK.
Northern Ireland Premiership;Portadown have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Glenavon;1.95;2025-10-04 13:30:00;;VERDADEIRO;1.0;OVER_2.5;6;CASA;0.5196666666666665;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.95). Previsao: MANTERA O STREAK.
Turkish Super Lig;Galatasaray have Won their last 7 league matches;Home vs Besiktas;1.56;2025-10-04 14:00:00;01/jan;FALSO;0.0;VITORIA;7;CASA;0.11;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Streak de 7 vitorias consecutivas (Odds: 1.56). Previsao: STREAK SERA INTERROMPIDO.
Serie B;Cesena have had BTTS in their last 6 league matches;Home vs Reggiana;2.0;2025-10-04 14:30:00;01/fev;FALSO;0.0;BTTS;6;CASA;0.10166666666666666;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 6 jogos (Odds: 2.0). Previsao: STREAK SERA INTERROMPIDO.
Premier League;HFX Wanderers have had Over 2.5 Match Goalsin their last 6 home league matches;Home vs York9;1.8;2025-10-04 15:00:00;;FALSO;0.0;OVER_2.5;6;CASA;0.49249999999999994;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.8). Previsao: STREAK SERA INTERROMPIDO.
Primera Division;Los Chankas have had BTTS in their last 10 home league matches;Home vs Cusco FC;1.67;2025-10-04 15:00:00;;VERDADEIRO;1.0;BTTS;10;CASA;0.63;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO SOLIDO: Estatistica BTTS por 10 jogos (Odds: 1.67). Previsao: MANTERA O STREAK.
Swiss Super League;Grasshopper have had BTTS in their last 7 league matches;Home vs Zürich;1.53;2025-10-04 15:30:00;3-0;FALSO;0.0;BTTS;7;CASA;0.17;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 7 jogos (Odds: 1.53). Previsao: STREAK SERA INTERROMPIDO.
US MLS;Nashville SC (MLS)have Lost their last 6 away league matches;Away vs CF Montréal;3.3;2025-10-04 15:30:00;;FALSO;0.0;DERROTA;6;FORA;0.3866666666666667;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Streak de 6 derrotas consecutivas (Odds: 3.3). Previsao: STREAK SERA INTERROMPIDO.
Fortuna Liga;Žilina have had Over 2.5 Match Goalsin their last 7 league matches;Home vs FK Košice;1.53;2025-10-04 15:30:00;;VERDADEIRO;1.0;OVER_2.5;7;CASA;0.62;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO SOLIDO: Over 2.5 goals em 7 jogos (Odds: 1.53). Previsao: MANTERA O STREAK.
Colombia Primera A;Envigado haveDrewtheir last 6 home league matches;Home vs Atlético Bucaramanga;3.2;2025-10-04 16:00:00;;FALSO;0.0;EMPATE;6;CASA;0.095;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica EMPATE por 6 jogos (Odds: 3.2). Previsao: STREAK SERA INTERROMPIDO.
Iceland Besta Deildin;Valur have had BTTS in their last 7 home league matches;Home vs Stjarnan;1.36;2025-10-04 17:00:00;03/fev;FALSO;0.0;BTTS;7;CASA;0.235;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 7 jogos (Odds: 1.36). Previsao: STREAK SERA INTERROMPIDO.
Premier League;Forge have Won their last 6 home league matches;Home vs Vancouver FC;1.27;2025-10-04 17:30:00;;FALSO;0.0;VITORIA;6;CASA;0.235;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Streak de 6 vitorias consecutivas (Odds: 1.27). Previsao: STREAK SERA INTERROMPIDO.
