League;Stat;Next Match;Odds;Date;Situacao;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Previsao;Padrao;
J League 2;Consadole Sapporo have had BTTS in their last 8 away league matches;Away vs Kataller Toyama;1.73;19/10/2025 00:55;;
J League;Shonan Bellmare have Lost their last 7 league matches;Home vs Kyoto Sanga;1.81;19/10/2025 03:00;;
Super League;Wuhan Three Towns have had Over 2.5 Match Goalsin their last 8 away league matches;Away vs Dalian Yingbo;1.53;19/10/2025 04:30;;
Super League;Wuhan Three Towns have Lost their last 6 away league matches;Away vs Dalian Yingbo;1.91;19/10/2025 04:30;;
Swedish Superettan;Trelleborg have had Over 2.5 Match Goalsin their last 7 away league matches;Away vs Utsikten;1.85;19/10/2025 08:00;;
3. Liga;Ulm have had BTTS in their last 8 league matches;Home vs Energie Cottbus;1.50;19/10/2025 08:30;;
Bundesliga 2;Magdeburg have Lost their last 6 league matches;Away vs Darmstadt;1.80;19/10/2025 08:30;;
3. Liga;Energie Cottbus have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Ulm;1.57;19/10/2025 08:30;;
Meistriliiga;Harju Jalgpallikool have had Over 2.5 Match Goalsin their last 9 league matches;Home vs Nõmme Kalju;1.44;19/10/2025 08:30;;
Allsvenskan Women;Häcken W have Won their last 8 away league matches;Away vs Brommapojkarna W;;19/10/2025 09:00;;
Allsvenskan Women;Brommapojkarna W have had Over 2.5 Match Goalsin their last 10 league matches;Home vs Häcken W;;19/10/2025 09:00;;
Allsvenskan Women;Brommapojkarna W have had BTTS in their last 11 home league matches;Home vs Häcken W;;19/10/2025 09:00;;
Allsvenskan Women;Brommapojkarna W have had Over 2.5 Match Goalsin their last 11 home league matches;Home vs Häcken W;;19/10/2025 09:00;;
Allsvenskan Women;Brommapojkarna W have Lost their last 6 home league matches;Home vs Häcken W;;19/10/2025 09:00;;
Allsvenskan Women;Brommapojkarna W have had BTTS in their last 10 league matches;Home vs Häcken W;;19/10/2025 09:00;;
Superliga;Odense BK have had BTTS in their last 8 league matches;Away vs Viborg FF;1.53;19/10/2025 09:00;;
Toppserien;Brann W have Won their last 7 away league matches;Away vs Kolbotn W;;19/10/2025 09:30;;
Toppserien;Bodø / Glimt W have had Over 2.5 Match Goalsin their last 10 home league matches;Home vs Rosenborg W;;19/10/2025 09:30;;
Toppserien;Brann W have Won their last 11 league matches;Away vs Kolbotn W;;19/10/2025 09:30;;
Toppserien;Bodø / Glimt W have Lost their last 6 home league matches;Home vs Rosenborg W;;19/10/2025 09:30;;
Norwegian Eliteserien;Viking FK have had BTTS in their last 6 away league matches;Away vs Tromsø;1.57;19/10/2025 09:30;;
Ekstraklasa;Lech Poznań have had BTTS in their last 6 home league matches;Home vs Pogoń Szczecin;1.50;19/10/2025 09:45;;
Allsvenskan Women;Rosengard W have had Over 2.5 Match Goalsin their last 9 league matches;Away vs Norrköping W;;19/10/2025 10:00;;
Allsvenskan Women;Rosengard W have Lost their last 8 league matches;Away vs Norrköping W;;19/10/2025 10:00;;
Finnish Veikkausliiga;SJK have had Over 2.5 Match Goalsin their last 9 away league matches;Away vs Gnistan;1.40;19/10/2025 10:00;;
Finnish Veikkausliiga;SJK have had BTTS in their last 6 league matches;Away vs Gnistan;1.40;19/10/2025 10:00;;
Finnish Veikkausliiga;Ilves have had BTTS in their last 6 league matches;Home vs FC Inter Turku;1.50;19/10/2025 10:00;;
Swedish Superettan;Orebro SK have had BTTS in their last 6 away league matches;Away vs Helsingborg;1.62;19/10/2025 10:00;;
Bundesliga;Ein Frankfurt have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Freiburg;1.62;19/10/2025 10:30;;
Iceland Besta Deildin;Afturelding have had BTTS in their last 7 home league matches;Home vs Vestri;1.53;19/10/2025 11:00;;
Superliga;AGF Aarhus have Won their last 8 league matches;Away vs Brøndby IF;2.82;19/10/2025 11:00;;
Iceland Besta Deildin;Afturelding have had BTTS in their last 15 league matches;Home vs Vestri;1.53;19/10/2025 11:00;;
La Liga;Celta have had BTTS in their last 7 league matches;Home vs Sociedad;1.75;19/10/2025 11:15;;
Finnish Veikkausliiga;KuPS Kuopio have had Over 2.5 Match Goalsin their last 7 home league matches;Home vs HJK;1.67;19/10/2025 12:30;;
Ekstraklasa;Zaglebie Lubin have had Over 2.5 Match Goalsin their last 7 league matches;Home vs Legia Warsaw;1.75;19/10/2025 12:30;;
Chile Primera Division;Coquimbo Unido have Won their last 11 league matches;Home vs Colo-Colo;2.30;19/10/2025 12:30;;
Primera Division Women;Barcelona W have Won their last 7 league matches;Home vs Granada W;;19/10/2025 13:00;;
Fortuna Liga;Žilina have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Dunajská Streda;1.50;19/10/2025 13:00;;
Segunda Division;Santander have had Over 2.5 Match Goalsin their last 9 league matches;Home vs La Coruna;1.65;19/10/2025 13:30;;
Norwegian Eliteserien;Strømsgodset IF have had BTTS in their last 6 league matches;Home vs Fredrikstad;1.57;19/10/2025 14:15;;
Super Liga;Crvena Zvezda have Won their last 9 league matches;Home vs IMT Novi Beograd;1.07;19/10/2025 14:30;;
Super Liga;Crvena Zvezda have had Over 2.5 Match Goalsin their last 6 league matches;Home vs IMT Novi Beograd;1.20;19/10/2025 14:30;;
3. Liga;Havelse have had BTTS in their last 6 league matches;Home vs Regensburg;1.53;19/10/2025 14:30;;
Iceland Besta Deildin;Valur have had BTTS in their last 8 home league matches;Home vs FH;1.44;19/10/2025 16:15;;
Segunda Division;UCV Moquegua have had BTTS in their last 8 away league matches;Away vs Unión Comercio;;19/10/2025 17:15;;
Primera B;Concepcion have had Over 2.5 Match Goalsin their last 7 league matches;Home vs San Luis;2.10;19/10/2025 17:30;;
USL Championship;Oakland Roots have had BTTS in their last 6 league matches;Away vs New Mexico United;1.72;19/10/2025 18:00;;
USL Championship;Oakland Roots have had BTTS in their last 6 away league matches;Away vs New Mexico United;1.72;19/10/2025 18:00;;
USL Championship;Oakland Roots have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs New Mexico United;1.72;19/10/2025 18:00;;
Primera Division;Peñarol have Won their last 11 home league matches;Home vs Wanderers;1.29;19/10/2025 18:30;;
Liga Pro;Universidad Católica have had BTTS in their last 6 away league matches;Away vs Libertad;1.67;19/10/2025 20:00;;