League;Stat;Next Match;Odds;Date;Situação;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Previsao;Padrao;Recomendacao;Analise_Detalhada
Swiss Super League;Zürich have had Over 2.5 Match Goalsin their last 6 league matches;ZÜRICH vs fc lugano;1.62;18/10/2025 15:30;FALSO;OVER_2.5;BAIXA_CONFIABILIDADE;0.656658630909644;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 6 jogos (Odds: 1.62) [BONUS +10%] Previsao: MANTERA STREAK
Fortuna Liga;Žilina have had Over 2.5 Match Goalsin their last 8 league matches;ŽILINA vs dunajská streda;1.5;19/10/2025 13:00;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.9051241165404819;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 8 jogos (Odds: 1.5) [BONUS +10%] Previsao: MANTERA STREAK
Ekstraklasa;Zaglebie Lubin have had Over 2.5 Match Goalsin their last 7 league matches;ZAGLEBIE LUBIN vs legia warsaw;1.8;19/10/2025 12:30;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.6818713706816297;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 7 jogos (Odds: 1.8) [BONUS +10%] Previsao: MANTERA STREAK
Super League;Yunnan Yukun have had BTTS in their last 7 home league matches;YUNNAN YUKUN vs tianjin jinmen tiger;1.53;18/10/2025 09:00;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.44891839963833635;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 1.53) [BONUS +10%] Previsao: INTERROMPERA STREAK
Super League;Yunnan Yukun have had BTTS in their last 12 league matches;YUNNAN YUKUN vs tianjin jinmen tiger;1.53;18/10/2025 09:00;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.5423075396825398;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 12 jogos (Odds: 1.53) [BONUS +10%] Previsao: INTERROMPERA STREAK
Super League;Wuhan Three Towns have Lost their last 6 away league matches;WUHAN THREE TOWNS vs dalian yingbo;1.76;19/10/2025 04:30;FALSO;DERROTA;BAIXA_CONFIABILIDADE;0.5694497710447078;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 6 jogos (Odds: 1.76) [BONUS +10%] Previsao: INTERROMPERA STREAK
Super League;Wuhan Three Towns have had Over 2.5 Match Goalsin their last 8 away league matches;WUHAN THREE TOWNS vs dalian yingbo;1.44;19/10/2025 04:30;FALSO;OVER_2.5;BAIXA_CONFIABILIDADE;0.5327975088820953;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 8 jogos (Odds: 1.44) [BONUS +10%] Previsao: INTERROMPERA STREAK
Swiss Super League;Winterthur have had Over 2.5 Match Goalsin their last 6 league matches;WINTERTHUR vs basel;1.3;18/10/2025 13:00;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.7202740929705214;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 6 jogos (Odds: 1.3) [BONUS +10%] Previsao: MANTERA STREAK
Norwegian Eliteserien;Viking FK have had BTTS in their last 6 away league matches;VIKING FK vs tromsø;1.53;19/10/2025 09:30;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.6798826853526221;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: BTTS em 6 jogos (Odds: 1.53) [BONUS +10%] Previsao: MANTERA STREAK
Bundesliga 2;VfL Bochum 1848 have Lost their last 6 league matches;VFL BOCHUM 1848 vs hertha;2.9;18/10/2025 15:30;FALSO;DERROTA;BAIXA_CONFIABILIDADE;0.38066341991342;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 6 jogos (Odds: 2.9) [BONUS +10%] Previsao: INTERROMPERA STREAK
Swedish Superettan;Västerås SK have Won their last 7 home league matches;VÄSTERÅS SK vs gif sundsvall;1.33;18/10/2025 08:00;VERDADEIRO;VITORIA;BAIXA_CONFIABILIDADE;0.5946005291005292;FALSO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: VITORIA em 7 jogos (Odds: 1.33) [BONUS +10%] Previsao: INTERROMPERA STREAK
Swedish Superettan;Varbergs BoIS have had BTTS in their last 8 league matches;VARBERGS BOIS vs sandviken;1.62;18/10/2025 10:00;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.37366244725738396;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 8 jogos (Odds: 1.62) [BONUS +10%] Previsao: INTERROMPERA STREAK
Iceland Besta Deildin;Valur have had BTTS in their last 8 home league matches;VALUR vs fh;1.44;19/10/2025 16:15;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.5278633884390465;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 8 jogos (Odds: 1.44) [BONUS +15%] Previsao: INTERROMPERA STREAK
Liga Pro;Universidad Católica have had BTTS in their last 6 away league matches;UNIVERSIDAD CATÓLICA vs libertad;1.67;19/10/2025 20:00;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.3080732607270684;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.67) [BONUS +10%] Previsao: INTERROMPERA STREAK
3. Liga;Ulm have had BTTS in their last 8 league matches;ULM vs energie cottbus;1.5;19/10/2025 08:30;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.5812746406195773;FALSO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 8 jogos (Odds: 1.5) [BONUS +10%] Previsao: INTERROMPERA STREAK
Segunda Division;UCV Moquegua have had BTTS in their last 8 away league matches;UCV MOQUEGUA vs unión comercio;;19/10/2025 17:15;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.6883928987678986;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 8 jogos (Odds: nan) [BONUS +10%] Previsao: MANTERA STREAK
1. Liga;Tychy 71 have Lost their last 6 league matches;TYCHY 71 vs wieczysta kraków;2.0;18/10/2025 14:30;FALSO;DERROTA;BAIXA_CONFIABILIDADE;0.7073015873015871;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: DERROTA em 6 jogos (Odds: 2.0) [BONUS +10%] Previsao: MANTERA STREAK
Swedish Superettan;Trelleborg have had Over 2.5 Match Goalsin their last 7 away league matches;TRELLEBORG vs utsikten;1.85;19/10/2025 08:00;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.8691764648917875;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 7 jogos (Odds: 1.85) [BONUS +10%] Previsao: MANTERA STREAK
Eerste Divisie;TOP Oss have had BTTS in their last 6 league matches;TOP OSS vs graafschap;1.57;18/10/2025 11:30;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.8212761738086108;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.57) [BONUS +10%] Previsao: MANTERA STREAK
Liga MX;Toluca have Won their last 6 league matches;TOLUCA vs querétaro;1.17;18/10/2025 20:00;VERDADEIRO;VITORIA;BAIXA_CONFIABILIDADE;0.7952460317460316;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 1.17) [BONUS +10%] Previsao: MANTERA STREAK
Liga MX;Toluca have had Over 2.5 Match Goalsin their last 6 league matches;TOLUCA vs querétaro;1.36;18/10/2025 20:00;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.95;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.36) [BONUS +10%] Previsao: MANTERA STREAK
Liga MX;Toluca have had BTTS in their last 6 home league matches;TOLUCA vs querétaro;1.8;18/10/2025 20:00;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.512677946074401;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.8) [BONUS +10%] Previsao: INTERROMPERA STREAK
Bolivia Primera Division;The Strongest have Won their last 10 home league matches;THE STRONGEST vs independiente petrolero;1.25;17/10/2025 21:00;VERDADEIRO;VITORIA;BAIXA_CONFIABILIDADE;0.9430091991341991;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 10 jogos (Odds: 1.25) [BONUS +10%] Previsao: MANTERA STREAK
USL Championship;Tampa Bay Rowdies have had Over 2.5 Match Goalsin their last 6 league matches;TAMPA BAY ROWDIES vs hartford athletic;1.8;18/10/2025 20:30;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.5321964349706622;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 6 jogos (Odds: 1.8) [BONUS +10%] Previsao: INTERROMPERA STREAK
Meistriliiga;Tallinna Kalev have Lost their last 8 league matches;TALLINNA KALEV vs flora;1.1;18/10/2025 13:00;VERDADEIRO;DERROTA;BAIXA_CONFIABILIDADE;0.8787599206349206;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: DERROTA em 8 jogos (Odds: 1.1) [BONUS +10%] Previsao: MANTERA STREAK
National League;Sutton have had BTTS in their last 6 home league matches;SUTTON vs hartlepool;1.57;18/10/2025 13:30;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.8212761738086108;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.57) [BONUS +10%] Previsao: MANTERA STREAK
Norwegian Eliteserien;Strømsgodset IF have had BTTS in their last 6 league matches;STRØMSGODSET IF vs fredrikstad;1.57;19/10/2025 14:15;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.8212761738086108;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.57) [BONUS +10%] Previsao: MANTERA STREAK
Norwegian 1. Division;Sogndal have had BTTS in their last 8 home league matches;SOGNDAL vs ik start;1.5;18/10/2025 11:00;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.5812746406195773;FALSO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 8 jogos (Odds: 1.5) [BONUS +10%] Previsao: INTERROMPERA STREAK
1. HNL;Slaven Koprivnica have had Over 2.5 Match Goalsin their last 8 league matches;SLAVEN KOPRIVNICA vs rijeka;2.08;18/10/2025 10:30;FALSO;OVER_2.5;BAIXA_CONFIABILIDADE;0.8661424603174602;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 8 jogos (Odds: 2.08) [BONUS +10%] Previsao: MANTERA STREAK
1. HNL;Slaven Koprivnica have had BTTS in their last 6 league matches;SLAVEN KOPRIVNICA vs rijeka;1.83;18/10/2025 10:30;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.3573278933493481;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.83) [BONUS +10%] Previsao: INTERROMPERA STREAK
First Division B;SK Beveren have Won their last 9 league matches;SK BEVEREN vs k. beerschot v.a.;2.63;17/10/2025 15:00;FALSO;VITORIA;BAIXA_CONFIABILIDADE;0.5933382034632034;FALSO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: VITORIA em 9 jogos (Odds: 2.63) [BONUS +10%] Previsao: INTERROMPERA STREAK
Finnish Veikkausliiga;SJK have had Over 2.5 Match Goalsin their last 9 away league matches;SJK vs gnistan;1.4;19/10/2025 10:00;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.7951091269841271;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 9 jogos (Odds: 1.4) [BONUS +10%] Previsao: MANTERA STREAK
Finnish Veikkausliiga;SJK have had BTTS in their last 6 league matches;SJK vs gnistan;1.4;19/10/2025 10:00;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.7313933792815372;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 6 jogos (Odds: 1.4) [BONUS +10%] Previsao: MANTERA STREAK
US MLS;SJ Earthquakes have had BTTS in their last 14 home league matches;SJ EARTHQUAKES vs austin;;18/10/2025 22:00;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.565163961038961;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 14 jogos (Odds: nan) [BONUS +10%] Previsao: INTERROMPERA STREAK
J League;Shonan Bellmare have Lost their last 7 league matches;SHONAN BELLMARE vs kyoto sanga;1.79;19/10/2025 03:00;FALSO;DERROTA;BAIXA_CONFIABILIDADE;0.5062549797249164;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 7 jogos (Odds: 1.79) [BONUS +10%] Previsao: INTERROMPERA STREAK
Super League;Shanghai Port have had Over 2.5 Match Goalsin their last 8 away league matches;SHANGHAI PORT vs qingdao hainiu;1.4;17/10/2025 07:00;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.7940841389187255;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 8 jogos (Odds: 1.4) [BONUS +10%] Previsao: MANTERA STREAK
Super League;Shanghai Port have had BTTS in their last 8 away league matches;SHANGHAI PORT vs qingdao hainiu;1.53;17/10/2025 07:00;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.5366445901145268;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 8 jogos (Odds: 1.53) [BONUS +10%] Previsao: INTERROMPERA STREAK
Super League;Shanghai Port have had BTTS in their last 11 league matches;SHANGHAI PORT vs qingdao hainiu;1.53;17/10/2025 07:00;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.545890873015873;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 11 jogos (Odds: 1.53) [BONUS +10%] Previsao: INTERROMPERA STREAK
3. Liga;Schweinfurt have had Over 2.5 Match Goalsin their last 6 league matches;SCHWEINFURT vs stuttgart ii;1.6;18/10/2025 09:00;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.8297034419338599;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.6) [BONUS +10%] Previsao: MANTERA STREAK
Segunda Division;Santander have had Over 2.5 Match Goalsin their last 9 league matches;SANTANDER vs la coruna;1.65;19/10/2025 13:30;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.49726497113997103;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 9 jogos (Odds: 1.65) [BONUS +10%] Previsao: INTERROMPERA STREAK
J League 2;Sagan Tosu have had BTTS in their last 7 league matches;SAGAN TOSU vs blaublitz akita;1.91;18/10/2025 02:00;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.32482422969187674;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 1.91) [BONUS +10%] Previsao: INTERROMPERA STREAK
Allsvenskan Women;Rosengard W have Lost their last 8 league matches;ROSENGARD W vs norrköping w;;19/10/2025 10:00;VERDADEIRO;DERROTA;ALTA_CONFIABILIDADE;0.8827505362505361;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: DERROTA em 8 jogos (Odds: nan) [BONUS +18%] Previsao: MANTERA STREAK
Allsvenskan Women;Rosengard W have had Over 2.5 Match Goalsin their last 9 league matches;ROSENGARD W vs norrköping w;;19/10/2025 10:00;FALSO;OVER_2.5;ALTA_CONFIABILIDADE;0.95;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 9 jogos (Odds: nan) [BONUS +18%] Previsao: MANTERA STREAK
Norwegian 1. Division;Raufoss have had Over 2.5 Match Goalsin their last 9 away league matches;RAUFOSS vs egersund;1.57;18/10/2025 11:00;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.59008658008658;FALSO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: OVER_2.5 em 9 jogos (Odds: 1.57) [BONUS +10%] Previsao: INTERROMPERA STREAK
Bundesliga 2;Preußen Münster have had Over 2.5 Match Goalsin their last 6 league matches;PREUSSEN MÜNSTER vs dresden;1.67;18/10/2025 08:00;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.7785432320228165;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: OVER_2.5 em 6 jogos (Odds: 1.67) [BONUS +10%] Previsao: MANTERA STREAK
Bundesliga 2;Preußen Münster have had BTTS in their last 8 league matches;PREUSSEN MÜNSTER vs dresden;1.57;18/10/2025 08:00;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.7327041139240505;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 8 jogos (Odds: 1.57) [BONUS +10%] Previsao: MANTERA STREAK
1. Liga;Polonia Warszawa have had BTTS in their last 7 league matches;POLONIA WARSZAWA vs chrobry głogów;1.62;18/10/2025 14:30;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.3143469710669078;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 1.62) [BONUS +10%] Previsao: INTERROMPERA STREAK
1. Liga;Polonia Warszawa have had BTTS in their last 6 away league matches;POLONIA WARSZAWA vs chrobry głogów;1.62;18/10/2025 14:30;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.410359341313149;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.62) [BONUS +10%] Previsao: INTERROMPERA STREAK
Scottish League 1;Peterhead have had Over 2.5 Match Goalsin their last 7 league matches;PETERHEAD vs queen of sth;1.8;18/10/2025 13:30;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.6818713706816297;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 7 jogos (Odds: 1.8) [BONUS +10%] Previsao: MANTERA STREAK
Scottish League 1;Peterhead have had BTTS in their last 6 league matches;PETERHEAD vs queen of sth;1.67;18/10/2025 13:30;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.3080732607270684;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.67) [BONUS +10%] Previsao: INTERROMPERA STREAK
